product_id,product_name,category,brand,price,created_at
P001,Laptop,Electronics,Lenovo,899.99,2024-12-01 10:00:00
P002,Headphones,Electronics,Sony,129.99,2024-12-05 11:00:00
P003,Coffee Maker,Home,Philips,79.99,2024-12-10 09:30:00
P004,Smartphone,Electronics,Samsung,699.99,2024-12-12 14:00:00
P005,Tablet,Electronics,Apple,499.99,2024-12-15 16:30:00
P006,Monitor,Electronics,Dell,249.99,2024-12-18 12:00:00
P007,Keyboard,Electronics,Logitech,49.99,2024-12-20 10:15:00
P008,Mouse,Electronics,HP,29.99,2024-12-22 11:45:00
P009,Blender,Home,Philips,59.99,2024-12-24 09:20:00
P010,Microwave,Home,LG,149.99,2024-12-26 13:10:00
P011,Refrigerator,Home,Samsung,999.99,2024-12-28 15:40:00
P012,Air Fryer,Home,Ninja,119.99,2024-12-30 17:25:00
P013,Smartwatch,Electronics,Apple,299.99,2025-01-02 10:50:00
P014,Camera,Electronics,Canon,549.99,2025-01-05 14:35:00
P015,Speaker,Electronics,JBL,89.99,2025-01-08 16:10:00
